GEISA09 Lines : Database Extract Results

Extraction in progress...

nbr records in this bin file :   3807997
 *****************                                                                                                  *****************
 * geisa   geisa *                                extraction of geisa2009  contents                                 * geisa   geisa *
 *      ext      *                                                                                                  *      ext      *
 * geisa   geisa *                spectral  interval (cm-1)  nu1= 2400.000000   nu2= 35000.000000                   * geisa   geisa *
 *****************                                                                                                  *****************
                                          extraction of the following molecules and isotopes

  1 Molecule(s) affect(s) :  o2

  3 Isotope(s)  affect(s) :   66,  67,  68

                                        (A)  wavenumber (cm-1)
                                        (B)  intensity (cm-1/molec.cm-2 at 296 k)
                                        (C)  air broadening pressure halfwidth(cm-1 atm-1 at 296 K)
                                        (D)  energy of the lower level of the transition (cm-1)
                                        (G)  identification of the isotope
                                        (I)  identification code of the molecule

      ----------------------------------------------------
      |     A      |     B     |  C   |    D     | G | I |
      ----------------------------------------------------
        7883.995765  7.7230D-29 0.0500   122.0360  68   7     275
        7884.089686  5.0660D-29 0.0500   121.9420  68   7     276
        7884.136264  8.5840D-27 0.0558    16.3876  66   7     277
        7884.271013  2.7490D-26 0.0558    16.2529  66   7     278
        7884.345667  7.9380D-29 0.0507    97.5950  68   7     279
        7884.416727  4.9530D-29 0.0507    97.5240  68   7     280
        7884.659223  7.9770D-29 0.0514    75.8647  68   7     281
        7884.705478  4.6710D-29 0.0514    75.8185  68   7     282
        7884.937194  7.8190D-29 0.0522    56.8452  68   7     283
        7884.955728  4.2130D-29 0.0522    56.8267  68   7     284
        7885.167105  3.5800D-29 0.0530    40.5497  68   7     285
        7885.180979  7.4480D-29 0.0530    40.5358  68   7     286
        7885.338927  2.7890D-29 0.0544    26.9889  68   7     287
        7885.393547  6.8500D-29 0.0544    26.9343  68   7     288
        7885.469863  1.8720D-29 0.0558    16.1461  68   7     289
        7885.582673  5.9920D-29 0.0558    16.0333  68   7     290
        7888.056313  6.5690D-26 0.0599     3.9611  66   7     291
        7889.056944  1.4250D-28 0.0599     4.5247  68   7     292
        7889.933104  1.7520D-26 0.0599     2.0843  66   7     293
        7890.948988  4.7900D-29 0.0599     2.6327  68   7     294
        7891.659950  1.5410D-28 0.0573     9.9560  68   7     295
        7893.528102  7.5890D-26 0.0549    18.3372  66   7     296
        7893.581655  9.6970D-29 0.0599    -0.9999  68   7     297
        7893.591285  7.7720D-29 0.0573     8.0247  68   7     298
        7894.225160  1.6650D-28 0.0549    18.1026  68   7     299
        7895.477670  4.6230D-26 0.0549    16.3876  66   7     300
        7896.181728  1.0080D-28 0.0549    16.1461  68   7     301
        7896.752449  1.7670D-28 0.0533    28.9644  68   7     302
        7898.439587  4.4020D-26 0.0599     2.0843  66   7     303
        7898.727938  1.1890D-28 0.0533    26.9889  68   7     304
        7898.839061  8.3670D-26 0.0519    44.2117  66   7     305
        7898.983270  9.5600D-29 0.0599     2.6327  68   7     306
        7899.241683  1.8370D-28 0.0519    42.5407  68   7     307
        7900.826802  5.5210D-26 0.0519    42.2240  66   7     308
        7901.232714  1.3240D-28 0.0519    40.5497  68   7     309
        7901.692724  1.8690D-28 0.0513    58.8312  68   7     310
        7903.697279  1.4150D-28 0.0513    56.8267  68   7     311
        7903.987987  8.3960D-26 0.0508    81.5805  66   7     312
        7904.105429  1.8630D-28 0.0508    77.8353  68   7     313
        7904.303150  9.9650D-29 0.0573     8.0247  68   7     314
        7906.003874  6.1120D-26 0.0508    79.5646  66   7     315
        7906.122205  1.4630D-28 0.0508    75.8185  68   7     316
        7906.479647  1.8200D-28 0.0502    99.5521  68   7     317
        7908.507755  1.4700D-28 0.0502    97.5240  68   7     318
        7908.815223  1.7450D-28 0.0496   123.9808  68   7     319
        7908.973574  7.7830D-26 0.0496   130.4375  66   7     320
        7909.570739  1.0420D-28 0.0549    16.1461  68   7     321
        7909.653509  3.9470D-26 0.0549    16.3876  66   7     322
        7910.854030  1.4410D-28 0.0496   121.9420  68   7     323
        7911.013337  6.0030D-26 0.0496   128.3978  66   7     324
        7911.111996  1.6420D-28 0.0489   151.1206  68   7     325
        7913.161036  1.3810D-28 0.0489   149.0716  68   7     326
        7913.369799  1.5180D-28 0.0482   180.9704  68   7     327
        7913.794418  6.6300D-26 0.0482   190.7748  66   7     328
        7914.793547  1.0770D-28 0.0533    26.9889  68   7     329
        7915.428717  1.2970D-28 0.0482   178.9115  68   7     330
        7915.588458  1.3790D-28 0.0476   213.5291  68   7     331
        7915.855850  5.2850D-26 0.0482   188.7134  66   7     332
        7917.656982  1.1940D-28 0.0476   211.4605  68   7     333
        7917.767796  1.2330D-28 0.0470   248.7953  68   7     334
        7918.449013  5.3520D-26 0.0470   262.5827  66   7     335
        7919.845709  1.0780D-28 0.0470   246.7174  68   7     336
        7919.907628  1.0830D-28 0.0464   286.7678  68   7     337
        7919.974266  1.0950D-28 0.0519    40.5497  68   7     338
        7920.530827  4.6300D-26 0.0470   260.5009  66   7     339
        7920.669549  4.9860D-26 0.0519    42.2240  66   7     340
        7921.994757  9.5710D-29 0.0464   284.6807  68   7     341
        7922.007765  9.3720D-29 0.0458   327.4451  68   7     342
        7922.935750  4.0790D-26 0.0458   345.8495  66   7     343
        7924.068009  7.9800D-29 0.0450   370.8256  68   7     344
        7924.103968  8.3490D-29 0.0458   325.3489  68   7     345
        7925.037137  3.4100D-26 0.0458   343.7481  66   7     346
        7925.114007  1.0950D-28 0.0513    56.8267  68   7     347
        7926.088160  6.6900D-29 0.0441   416.9078  68   7     348
        7926.173171  7.1620D-29 0.0450   368.7205  68   7     349
        7927.252919  2.7320D-26 0.0441   440.5618  66   7     350
        7928.068011  5.5240D-29 0.0435   465.6897  68   7     351
        7928.202184  6.0440D-29 0.0441   414.7937  68   7     352
        7929.373337  2.3580D-26 0.0441   438.4414  66   7     353
        7930.007348  4.4920D-29 0.0429   517.1697  68   7     354
        7930.190816  5.0200D-29 0.0435   463.5669  68   7     355
        7930.213233  1.0750D-28 0.0508    75.8185  68   7     356
        7931.398705  1.7860D-26 0.0429   546.7042  66   7     357
        7931.510099  4.8450D-26 0.0508    79.5646  66   7     358
        7931.905952  3.5990D-29 0.0421   571.3456  68   7     359
        7932.138865  4.1040D-29 0.0429   515.0382  68   7     360
        7933.537777  1.6350D-26 0.0429   544.5651  66   7     361
        7933.763599  2.8410D-29 0.0414   628.2155  68   7     362
        7934.046124  3.3040D-29 0.0421   569.2054  68   7     363
        7935.272099  1.0370D-28 0.0502    97.5240  68   7     364
        7935.371190  1.0940D-26 0.0414   664.2595  66   7     365
        7935.580058  2.2110D-29 0.0410   687.7770  68   7     366
        7935.912376  2.6200D-29 0.0414   626.0667  68   7     367
        7937.355094  1.6950D-29 0.0405   750.0281  68   7     368
        7937.528645  1.0100D-26 0.0414   662.1021  66   7     369
        7937.737398  2.0470D-29 0.0410   685.6197  68   7     370
        7939.168348  6.3050D-27 0.0405   793.2088  66   7     371
        7939.520959  1.5750D-29 0.0405   747.8622  68   7     372
        7940.290596  9.8390D-29 0.0496   121.9420  68   7     373
        7941.343988  5.8590D-27 0.0405   791.0332  66   7     374
        7942.178634  4.1840D-26 0.0496   128.3978  66   7     375
        7942.788047  3.4190D-27 0.0384   933.5311  66   7     376
        7944.981723  3.1980D-27 0.0384   931.3374  66   7     377
        7945.268620  9.1740D-29 0.0489   149.0716  68   7     378
        7946.228047  1.7470D-27 0.0373  1085.2037  66   7     379
        7948.439645  1.6430D-27 0.0373  1082.9921  66   7     380
        7949.485997  8.4100D-28 0.0365  1248.2019  66   7     381
        7950.206007  8.4130D-29 0.0482   178.9115  68   7     382
        7951.715432  7.9490D-28 0.0365  1245.9725  66   7     383
        7952.559433  3.8190D-28 0.0356  1422.4995  66   7     384
        7952.674832  3.5730D-26 0.0482   188.7134  66   7     385
        7954.806640  3.6250D-28 0.0356  1420.2523  66   7     386
        7955.102554  7.5910D-29 0.0476   211.4605  68   7     387
        7955.445781  1.6370D-28 0.0347  1608.0680  66   7     388
        7957.710708  1.5590D-28 0.0347  1605.8030  66   7     389
        7958.142346  6.6230D-29 0.0341  1804.8773  66   7     390
